,0
Start,2025-05-08 01:30:00
End,2025-05-09 01:29:00
Duration,0 days 23:59:00
Exposure Time [%],58.88888888888889
Equity Final [$],1077.4061000000002
Equity Peak [$],1089.4251000000002
Return [%],7.740610000000016
Buy & Hold Return [%],11.549756205673772
Return (Ann.) [%],-16.02844169817792
Volatility (Ann.) [%],
CAGR [%],14631428040.105125
Sharpe Ratio,
Sortino Ratio,-7.287683406779099
Calmar Ratio,-7.068232920136937
Alpha [%],2.6120753231008926
Beta,0.4440383489982023
Max. Drawdown [%],-2.2676731057509336
Avg. Drawdown [%],-0.3119769098856278
Max. Drawdown Duration,0 days 03:56:00
Avg. Drawdown Duration,0 days 00:24:00
# Trades,4
Win Rate [%],100.0
Best Trade [%],4.993104883823785
Worst Trade [%],2.055923274348248
Avg. Trade [%],3.104817997250775
Max. Trade Duration,0 days 05:45:00
Avg. Trade Duration,0 days 03:31:00
Profit Factor,
Expectancy [%],3.111464381220813
SQN,41.28528250765149
Kelly Criterion,
_strategy,Long_SMA_MACD_BB
_equity_curve,"                        Equity  DrawdownPct DrawdownDuration
Time                                                        
2025-05-08 01:30:00  1000.0000     0.000000              NaT
2025-05-08 01:31:00  1000.0000     0.000000              NaT
2025-05-08 01:32:00  1000.0000     0.000000              NaT
2025-05-08 01:33:00  1000.0000     0.000000              NaT
2025-05-08 01:34:00  1000.0000     0.000000              NaT
...                        ...          ...              ...
2025-05-09 01:25:00  1076.4971     0.011867              NaT
2025-05-09 01:26:00  1078.0727     0.010421              NaT
2025-05-09 01:27:00  1076.9011     0.011496              NaT
2025-05-09 01:28:00  1077.0829     0.011329              NaT
2025-05-09 01:29:00  1077.4061     0.011032  0 days 03:56:00

[1440 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice      SL      TP      PnL  ...        Duration   Tag Entry_λ(C) Exit_λ(C) Entry_λ(C)_0  Exit_λ(C)_0  Entry_λ(C)_1  Exit_λ(C)_1
0   257       285      432      3.6115     3.6906  3.5739  3.6906  20.3287  ... 0 days 02:27:00  None   3.584116  3.644031     0.005840     0.007112      0.005156     0.003218
1   267       477      555      3.7015     3.7776  3.6634  3.7776  20.3187  ... 0 days 01:18:00  None   3.686707  3.719498     0.004928     0.007120      0.005424     0.003036
2   171       564      838      3.7797     3.9009  3.7191  3.9009  20.7252  ... 0 days 04:34:00  None   3.728688  3.755498     0.013546     0.023691      0.011985     0.008682
3   117       842     1187      3.8433     4.0352  3.7635  4.0352  22.4523  ... 0 days 05:45:00  None   3.766684  3.966296     0.020145     0.009415      0.016324     0.004966

[4 rows x 19 columns]"
